author,product,rate
629245b415387f5544b08031,629226aac4ae62f7a810d160,4
629894c15f70ac52001a2ea4,629226aac4ae62f7a810d160,1
629895235f70ac52001a2eac,629226aac4ae62f7a810d160,4
6298965b5f70ac52001a2ebc,629226aac4ae62f7a810d160,5
629897207db6ab65002ab2d6,629226aac4ae62f7a810d160,2
6298a6437db6ab65002ab304,629226aac4ae62f7a810d160,5
6298a7177db6ab65002ab31c,629226aac4ae62f7a810d160,5
6298a8787db6ab65002ab341,629226aac4ae62f7a810d160,5
62924b08d98f8d55e8faacf6,629226aac4ae62f7a810d161,4
629894c67db6ab65002ab2b4,629226aac4ae62f7a810d161,5
6298955c7db6ab65002ab2c0,629226aac4ae62f7a810d161,5
629896905f70ac52001a2ec0,629226aac4ae62f7a810d161,4
6298975a7db6ab65002ab2da,629226aac4ae62f7a810d161,5
629897de5f70ac52001a2ee0,629226aac4ae62f7a810d161,5
629898bb5f70ac52001a2eec,629226aac4ae62f7a810d161,5
62989a965f70ac52001a2f00,629226aac4ae62f7a810d161,4
6298a2375f70ac52001a2f1d,629226aac4ae62f7a810d161,5
6298a3035f70ac52001a2f2d,629226aac4ae62f7a810d161,3
6298a6627db6ab65002ab308,629226aac4ae62f7a810d161,5
6298a7677db6ab65002ab329,629226aac4ae62f7a810d161,4
62924b2bd98f8d55e8faacfa,629226aac4ae62f7a810d162,5
629717d3c09ee10b5cedec0e,629226aac4ae62f7a810d162,5
6297372c0e5a2947bc814b86,629226aac4ae62f7a810d162,5
629895187db6ab65002ab2bc,629226aac4ae62f7a810d162,5
629896737db6ab65002ab2ce,629226aac4ae62f7a810d162,5
6298971a5f70ac52001a2ecc,629226aac4ae62f7a810d162,3
629897be5f70ac52001a2edc,629226aac4ae62f7a810d162,5
629898d87db6ab65002ab2ea,629226aac4ae62f7a810d162,5
62989b137db6ab65002ab2f4,629226aac4ae62f7a810d162,1
6298a3235f70ac52001a2f31,629226aac4ae62f7a810d162,5
6298a6817db6ab65002ab30c,629226aac4ae62f7a810d162,5
6298a7bb7db6ab65002ab331,629226aac4ae62f7a810d162,5
629894ee7db6ab65002ab2b8,629226aac4ae62f7a810d162,5
6298964b7db6ab65002ab2ca,629226aac4ae62f7a810d162,1
